New York; -74.22199; 40.92357;-8262354.570; 5001074.462
Medina (Ohio); -81.65161; 41.16505;-9089415.986; 5036717.390
Knoxville (Illinois); -89.80002; 40.93344;-9996492.140; 5002529.275
Van Buren (Missouri); -90.94680; 37.01859; -10124152.015; 4441698.710
Greenville (Arkansas); -93.67509; 34.17359; -10427863.053; 4052134.241
Harrisonville (Louisiana); -92.52453; 31.67040;-10299783.957; 3720123.382
Philadelphia (Mssissippi); -89.45659; 32.72084; -9958261.750; 3858309.111
Coffeeville (Alabama); -88.39254; 31.61921; -9839813.060; 3713429.721
Port Leon (Florida); -84.18034; 29.82011; -9370912.872; 3480447.999
Brunswick (Georgia); -81.39273; 31.02576; -9060596.881; 3636095.452
Georgetown (South Carolina); -81.39273; 31.02576; -9060596.881; 3636095.452
Cape Fear (North Carolina); -77.64659; 33.87477; -8643579.178; 4011998.734


